id,s1_cis,t1_cis,exchange_integral,dsp_scf,dsp_cis,homo_lumo_overlap,oscillator_strength,run_time,smiles,s1_ref,t1_ref,t1_s1_ref,oscillator_strength_ref
2,0.005870953,0.002534413,0.00192651,-0.016731029,-0.011618692,0.217413636,0.000255636,0.01663335,c1cc2cccc3cncc(c1)-n-2-3,0.922166,1.045877,-0.123711,0.000633
3,0.03703288,0.025360906,0.004451253,-0.014008998,-0.009854418,0.464499916,0.001897615,0.024722902,c1cc2cccc3nccc(c1)-n-2-3,1.380431,1.491178,-0.110747,0.000537
4,0.042269027,0.036690836,0.004898576,-0.015008577,-0.010510695,0.26520918,0.00740242,0.017193363,c1cc2cccc3ncnc(c1)-n-2-3,1.59346,1.741869,-0.148409,0.002229
5,0.055526663,0.025073967,0.00958057,-0.008704848,-0.006279765,0.784063919,0.000913981,0.021303988,c1cc2cccc3nncc(c1)-n-2-3,1.517693,1.427733,0.08996,0.000069
6,0.032865738,0.027755207,0.002582618,-0.016876796,-0.011703796,0.30546175,0.00050518,0.016774374,c1cc2cccc3nnnc(c1)-n-2-3,1.35985,1.499214,-0.139364,0.000211
7,0.051347571,0.037821315,0.005026113,-0.013299586,-0.009382232,0.48548924,0.002419617,0.022398641,c1cc2ccnc3ccnc(c1)-n-2-3,1.731749,1.796801,-0.065052,0.000561
8,0.034740832,0.015495281,0.007487399,-0.011265582,-0.008014288,0.55497934,0.004312003,0.024798936,c1cc2ccnc3cncc(c1)-n-2-3,1.294145,1.359668,-0.065523,0.00175
9,0.030920813,0.024318273,0.002751782,-0.016331679,-0.011387982,0.310557847,0.000289878,0.020422696,c1cc2ccnc3cncc(n1)-n-2-3,1.425593,1.574782,-0.149189,0.000272
10,0.062351783,0.035817169,0.007498096,-0.010409842,-0.007427331,0.711367153,0.001394084,0.020449263,c1cc2ccnc3cnnc(c1)-n-2-3,1.815499,1.741745,0.073754,0.001181
11,0.039815992,0.034549752,0.004566351,-0.015419017,-0.010819614,0.291279487,0.009619687,0.017093295,c1cc2ccnc3nccc(c1)-n-2-3,1.536155,1.685917,-0.149762,0.002518
12,0.053009488,0.046636413,0.003565042,-0.015793403,-0.011067608,0.312240428,0.006464975,0.020939964,c1cc2ccnc3nccc(n1)-n-2-3,1.802736,1.960725,-0.157989,0.001608
13,0.055543367,0.046227123,0.00688302,-0.013519491,-0.00956722,0.354749392,0.015173666,0.021106201,c1cc2ccnc3ncnc(c1)-n-2-3,1.862647,1.9908,-0.128153,0.003811
14,0.064223807,0.05581623,0.007001704,-0.01403061,-0.009935351,0.278753719,0.018748376,0.016485833,c1cc2ccnc3ncnc(n1)-n-2-3,2.041241,2.212138,-0.170897,0.004506
15,0.045648206,0.027746601,0.007155347,-0.011834911,-0.008416237,0.552165439,0.00467762,0.022568976,c1cc2ccnc3nncc(c1)-n-2-3,1.478967,1.538085,-0.059118,0.000835
16,0.058307767,0.040709877,0.00551848,-0.013276541,-0.009375842,0.538213428,0.001504052,0.03076344,c1cc2ccnc3nncc(n1)-n-2-3,1.805171,1.868118,-0.062947,0.000039
17,0.04736098,0.037897194,0.004695786,-0.015320489,-0.010736164,0.362398566,0.005371513,0.0216783,c1cc2ccnc3nnnc(c1)-n-2-3,1.633895,1.764664,-0.130769,0.001747
18,0.054685976,0.048023629,0.003453349,-0.016676794,-0.011637628,0.293872655,0.002346755,0.01650796,c1cc2ccnc3nnnc(n1)-n-2-3,1.818193,2.002054,-0.183861,0.000019
19,0.038177018,0.01652938,0.008223629,-0.009622008,-0.006907072,0.638049179,0.00443076,0.023720097,c1cc2cncc3ccnc(c1)-n-2-3,1.348576,1.354367,-0.005791,0.002104
20,0.032201593,0.020725702,0.008988589,-0.01256263,-0.008955364,0.421891583,0.016109455,0.017007976,c1cc2cncc3ccnc(n1)-n-2-3,1.396955,1.477144,-0.080189,0.006382
21,0.014891722,-0.00888875,0.008459212,-0.009955007,-0.007111605,0.693021289,0.000528076,0.05175005,c1cc2cncc3cncc(c1)-n-2-3,0.808624,0.914134,-0.10551,0.000507
22,0.038869244,0.010824649,0.009752421,-0.007829388,-0.005648337,0.704027383,0.004524563,0.022949312,c1cc2cncc3cncc(n1)-n-2-3,1.317173,1.266134,0.051039,0.00228
23,0.059152171,0.022682134,0.011903246,-0.005863608,-0.00431488,0.821354484,0.003349157,0.021201331,c1cc2cncc3cnnc(c1)-n-2-3,1.613451,1.371143,0.242308,0.000501
24,0.045722144,0.019385165,0.010750565,-0.008168507,-0.005934268,0.616792556,0.010912271,0.024609802,c1cc2cncc3cnnc(n1)-n-2-3,1.421614,1.384285,0.037329,0.003194
25,0.049202917,0.027738138,0.008969261,-0.009461264,-0.006802333,0.571499741,0.008301983,0.023266271,c1cc2cncc3nccc(n1)-n-2-3,1.688257,1.664874,0.023383,0.00329
26,0.03488522,0.024066592,0.007948904,-0.012858946,-0.009104905,0.382968678,0.010071985,0.022608471,c1cc2cncc3ncnc(c1)-n-2-3,1.485252,1.576887,-0.091635,0.003917
27,0.048576804,0.031484579,0.011716968,-0.010508585,-0.007585636,0.487136104,0.025770598,0.021588586,c1cc2cncc3ncnc(n1)-n-2-3,1.735141,1.788957,-0.053816,0.008633
28,0.057163632,0.021237421,0.011675676,-0.007370082,-0.005345872,0.828117607,0.005436124,0.021384838,c1cc2cncc3nncc(c1)-n-2-3,1.560927,1.3938,0.167127,0.001008
29,0.062966555,0.030700452,0.00995701,-0.007955412,-0.005745673,0.743459726,0.00564108,0.020122183,c1cc2cncc3nncc(n1)-n-2-3,1.864997,1.701093,0.163904,0.002121
30,0.026247228,0.017117775,0.005043099,-0.014530745,-0.010151013,0.428549126,0.001434243,0.027532554,c1cc2cncc3nnnc(c1)-n-2-3,1.266311,1.379213,-0.112902,0.000291
31,0.041652756,0.025857935,0.008954038,-0.012097486,-0.008616328,0.477855224,0.013003817,0.023353574,c1cc2cncc3nnnc(n1)-n-2-3,1.526814,1.615026,-0.088212,0.003961
32,0.064835599,0.036636615,0.008772843,-0.007975448,-0.005776466,0.715074865,0.001324193,0.020327979,c1cc2cnnc3ccnc(c1)-n-2-3,1.897732,1.752052,0.14568,0.000481
33,0.05821327,0.038728888,0.007479841,-0.009675888,-0.006987024,0.552364051,0.009889536,0.02638056,c1cc2cnnc3ccnc(n1)-n-2-3,1.768428,1.772849,-0.004421,0.005101
34,0.040786535,0.019459279,0.006565021,-0.011575533,-0.008224138,0.585158166,0.000395551,0.023074853,c1cc2cnnc3cncc(n1)-n-2-3,1.342581,1.41046,-0.067879,0.001001
35,0.078269051,0.03981404,0.011692879,-0.006718265,-0.004917258,0.840862254,0.00222843,0.019619934,c1cc2cnnc3cnnc(c1)-n-2-3,2.118044,1.820121,0.297923,0.000198
36,0.072074668,0.040809519,0.009806262,-0.007574261,-0.005533826,0.695102335,0.003712211,0.020121724,c1cc2cnnc3cnnc(n1)-n-2-3,1.971842,1.835434,0.136408,0.001446
37,0.043135993,0.033093996,0.006278571,-0.01387579,-0.009802089,0.363061822,0.006765756,0.021715517,c1cc2cnnc3nccc(n1)-n-2-3,1.570869,1.687908,-0.117039,0.003537
38,0.062064394,0.0411302,0.008999826,-0.00946137,-0.0068103,0.588830137,0.010133359,0.021086138,c1cc2cnnc3ncnc(c1)-n-2-3,1.922038,1.898466,0.023572,0.002546
39,0.0609194,0.043886358,0.01030806,-0.010357788,-0.007487098,0.472743151,0.021281068,0.020461135,c1cc2cnnc3ncnc(n1)-n-2-3,1.907846,1.974128,-0.066282,0.007593
40,0.022951783,0.016352366,0.003697221,-0.014957358,-0.010425463,0.307301278,0.00106627,0.01724225,c1cc2cnnc3nncc(c1)-n-2-3,1.219121,1.343022,-0.123901,0.00003
41,0.043150892,0.026132202,0.00737961,-0.013223735,-0.009365109,0.445755036,0.004949361,0.022701343,c1cc2cnnc3nncc(n1)-n-2-3,1.545911,1.638246,-0.092335,0.001684
42,0.062270876,0.036595466,0.008816372,-0.010366166,-0.007414735,0.637150682,0.00516712,0.020587987,c1cc2cnnc3nnnc(c1)-n-2-3,1.833543,1.807425,0.026118,0.001772
43,0.056753573,0.040179123,0.00739529,-0.011802209,-0.00839019,0.506744012,0.003232789,0.020975116,c1cc2cnnc3nnnc(n1)-n-2-3,1.775806,1.877113,-0.101307,0.000401
44,0.039170793,0.036439713,0.001174937,-0.017714155,-0.012289369,0.250824829,0.000540034,0.02112684,c1cc2nccc3ccnc(c1)-n-3-2,1.529244,1.704198,-0.174954,0.000156
45,0.041335578,0.026627916,0.005206439,-0.01302942,-0.009220198,0.504253299,0.002409747,0.023444368,c1cc2nccc3cnnc(c1)-n-3-2,1.384165,1.470631,-0.086466,0.002448
47,0.05495688,0.048893891,0.0030765,-0.01600464,-0.011163236,0.339816103,0.001850115,0.020647709,c1cc2nccc3ncnc(c1)-n-2-3,1.852438,2.015012,-0.162574,0.000575
48,0.04965473,0.038427226,0.003353148,-0.015696962,-0.010964557,0.428396241,0.000509473,0.021907943,c1cc2nccc3nnnc(c1)-n-2-3,1.662042,1.75808,-0.096038,0.001624
49,0.048597498,0.034690826,0.007460699,-0.012609111,-0.008931701,0.463470387,0.006046149,0.021694466,c1cc2ncnc3cncc(n1)-n-2-3,1.770268,1.867731,-0.097463,0.002073
50,0.056362522,0.040626568,0.005317531,-0.012624273,-0.008940191,0.48541854,0.006283734,0.020894245,c1cc2ncnc3cnnc(c1)-n-2-3,1.750898,1.822828,-0.07193,0.004248
